표준정류장ID,시군명,정류소명,정류소영문명,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도,모바일정류장ID,이비카드정류장ID
233002084,화성시,봉담호수공원.신협앞,"Bongdam Lake Park, ",55055.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2186667,126.9504833,"[None None None None None None None None None None None None None None
 None]",4130060.0
233002085,화성시,동화휴먼시아1단지.상봉초등학교,"Donghwa Humansia Apartment 1-danji, Sangbong Elementary School ",55062.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2177,126.95645,"[None None None None None None None None None None None None None None
 None]",4170498.0
233002086,화성시,동일하이빌.상봉초등학교,"Donggil Highville, Sangbong Elementary School ",55054.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2176833,126.9561,"[None None None None None None None None None None None None None None
 None]",4130061.0
233002087,화성시,봉담택지지구,Bongdam Housing Site,37688.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2199,126.9535,"[None None None None None None None None None None None None None None
 None]",4130338.0
233002088,화성시,삼괴중고교,Samgoe Middle & High School,55067.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0884333,126.82098329999998,"[None None None None None None None None None None None None None None
 None]",4107840.0
233002089,화성시,삼괴중고교,Samgoe Middle & High School,55064.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0882667,126.8211,"[None None None None None None None None None None None None None None
 None]",4170468.0
233002090,화성시,우정읍사무소,Ujeong-eup Office,55065.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0887167,126.8166167,"[None None None None None None None None None None None None None None
 None]",4117303.0
233002091,화성시,우정읍사무소,Ujeong-eup Office ,55066.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0884333,126.81655,"[None None None None None None None None None None None None None None
 None]",4117404.0
233002092,화성시,동양파라곤,Dongyang Paragon,36994.0,노변정류장,경기도 화성시,경기도 화성시 반송동,37.2040333,127.07098329999998,"[None None None None None None None None None None None None None None
 None]",4130053.0
233002093,화성시,동양파라곤,Dongyang Paragon ,36995.0,노변정류장,경기도 화성시,경기도 화성시 반송동,37.2040333,127.07135,"[None None None None None None None None None None None None None None
 None]",4199654.0
233002094,화성시,보통3리,Botong 3-ri,55365.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1825833,126.97685,55365.0,
233002095,화성시,보통3리,Botong 3-ri,55366.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1825833,126.97696670000002,"[None None None None None None None None None None None None None None
 None]",4116253.0
233002096,화성시,밀레니엄자연학교,Millenium Nature School,37690.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1516333,126.97805,37690.0,
233002097,화성시,밀레니엄자연학교,Millenium Nature School,55068.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.15175,126.9779667,"[None None None None None None None None None None None None None None
 None]",4198441.0
233002098,화성시,신한에스빌아파트앞,Shinhan S-Ville Apartment ,55086.0,노변정류장,경기도 화성시,경기도 화성시 병점동,37.20896670000001,127.0395167,"[None None None None None None None None None None None None None None
 None]",4170967.0
233002099,화성시,화성종합경기타운사거리,Hwaseong Sports Town Sageori,55095.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1341333,126.92126670000002,55095.0,
233002100,화성시,화성종합경기타운사거리,Hwaseong Sports Town Sageori,55079.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.13415,126.92168329999998,"[None None None None None None None None None None None None None None
 None]",4170714.0
233002101,화성시,화성문화원.향남환승터미널,"Hwaseong Cultural Center, Hyangnam Transfer Terminal ",37286.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.132,126.9210833,37286.0,
233002102,화성시,향남환승터미널,Hyangnam Transfer Terminal ,37287.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1328,126.9215667,37287.0,
233002103,화성시,에일린의뜰,Eileen-Garden ,55084.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1278667,126.9206167,"[None None None None None None None None None None None None None None
 None]",4170819.0
233002104,화성시,신영지웰,Sinyoung G-well,55080.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1278,126.9210167,"[None None None None None None None None None None None None None None
 None]",4151555.0
233002105,화성시,단독주택단지,Housing Complex,55085.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1243333,126.9198667,55085.0,
233002106,화성시,단독주택단지,Housing Complex,55081.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12425,126.9201833,55081.0,
233002108,화성시,휴먼시아5.6블럭,Humansia Block 5/6,55082.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1235,126.9134167,55082.0,
233002111,화성시,반달마을,Bandal Maeul ,55131.0,노변정류장,경기도 화성시,경기도 화성시 반월동,37.2345833,127.0671,"[None None None None None None None None None None None None None None
 None]",4196034.0
233002112,화성시,반달마을,Bandal Maeul ,55132.0,노변정류장,경기도 화성시,경기도 화성시 반월동,37.2344,127.0670333,"[None None None None None None None None None None None None None None
 None]",4196035.0
233002113,화성시,산척리,Sancheok-ri,55089.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1690833,127.08948329999998,"[None None None None None None None None None None None None None None
 None]",4170281.0
233002114,화성시,산척리,Sancheok-ri,55090.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.171,127.09,"[None None None None None None None None None None None None None None
 None]",4170282.0
233002115,화성시,DM디스플레이,DM Display,55091.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.16415,127.08765,"[None None None None None None None None None None None None None None
 None]",4170283.0
233002116,화성시,DM디스플레이,DM Display ,55092.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1656167,127.08775,"[None None None None None None None None None None None None None None
 None]",4170270.0
233002117,화성시,한마음초교.광명메이루즈,"Hanmaeum Elementary School, ",55100.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2075,127.0568,"[None None None None None None None None None None None None None None
 None]",4197609.0
233002118,화성시,양노리,Yangno-ri,55087.0,노변정류장,경기도 화성시,경기도 화성시 비봉면,37.2288333,126.85995,"[None None None None None None None None None None None None None None
 None]",4197693.0
233002119,화성시,송곡리입구,Songgok-ri,55127.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1266167,126.9712167,"[None None None None None None None None None None None None None None
 None]",4170492.0
233002120,화성시,화성서부경찰서,Hwaseong Seobu Police Station ,37751.0,노변정류장,경기도 화성시,,37.1906833,126.8219833,"[None None None None None None None None None None None None None None
 None]",4102892.0
233002121,화성시,화성서부경찰서,Hwaseong Seobu Police Station ,55093.0,노변정류장,경기도 화성시,,37.1907333,126.8221167,"[None None None None None None None None None None None None None None
 None]",4107868.0
233002122,화성시,정남행정복합센터,Jeongnam Service Center,55094.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1611833,126.97168329999998,"[None None None None None None None None None None None None None None
 None]",4130222.0
233002122,화성시,정남행정복합센터,Jeongnam Service Center,55094.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1611833,126.97168329999998,"[None None None None None None None None None None None None None None
 None]",9130222.0
233002123,화성시,정남행정복합센터,Jeongnam Service Center,55097.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1615167,126.9726833,"[None None None None None None None None None None None None None None
 None]",4130223.0
233002130,화성시,그린빌라.롤링힐스,"Green Villa, Rolling Hills",55104.0,노변정류장,경기도 화성시,,37.1898833,126.8413667,"[None None None None None None None None None None None None None None
 None]",4197681.0
233002131,화성시,그린빌라.롤링힐스,"Green Villa, Rolling Hills",55105.0,노변정류장,경기도 화성시,,37.18955,126.84206670000002,"[None None None None None None None None None None None None None None
 None]",4170372.0
233002132,화성시,롯데시네마,Lotte Cinema,55279.0,노변정류장,경기도 화성시,경기도 화성시 진안동,37.2144833,127.04245,"[None None None None None None None None None None None None None None
 None]",4119331.0
233002134,화성시,거문들,Geomundeul,55160.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0893667,126.8299333,55160.0,
233002135,화성시,남양타운,Namyang Town,55179.0,노변정류장,경기도 화성시,,37.1983833,126.7974,"[None None None None None None None None None None None None None None
 None]",4119900.0
233002136,화성시,남양타운,Namyang Town,55180.0,노변정류장,경기도 화성시,,37.19775,126.79706670000002,"[None None None None None None None None None None None None None None
 None]",4107955.0
233002137,화성시,마도할인마트,Mado Discount Mart,55123.0,노변정류장,경기도 화성시,,37.1950167,126.79626670000002,"[None None None None None None None None None None None None None None
 None]",4170493.0
233002138,화성시,마도할인마트,Mado Discount Mart,55124.0,노변정류장,경기도 화성시,,37.1951,126.7965667,"[None None None None None None None None None None None None None None
 None]",4170419.0
233002139,화성시,쌍송1리앞,Ssangsong 1-ri ,55181.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.1901167,126.79245,"[None None None None None None None None None None None None None None
 None]",4119766.0
233002140,화성시,쌍송1리앞,Ssangsong 1-ri,55182.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.19056670000001,126.7931333,"[None None None None None None None None None None None None None None
 None]",4119767.0
233002141,화성시,마도유통상가앞,Mado Distribution Complex ,55183.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.1865333,126.78986670000002,"[None None None None None None None None None None None None None None
 None]",4119898.0
233002142,화성시,마도유통상가앞,Mado Distribution Complex ,55184.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.1867,126.7903333,"[None None None None None None None None None None None None None None
 None]",4119899.0
233002143,화성시,쌍송2리앞,Ssangsong 2-ri ,55185.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.1844,126.7882333,"[None None None None None None None None None None None None None None
 None]",4119896.0
233002144,화성시,쌍송2리.산업단지내,"Ssangsong 2-ri, Industrial Complex ",55186.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.1846667,126.7888,"[None None None None None None None None None None None None None None
 None]",4119897.0
233002145,화성시,나래울,Naraeul,55101.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2052667,127.0524167,"[None None None None None None None None None None None None None None
 None]",4170368.0
233002146,화성시,나래울,Naraeul,55102.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2052833,127.05265,"[None None None None None None None None None None None None None None
 None]",4170367.0
233002147,화성시,진안초교,Jinan Elementary School ,55231.0,노변정류장,경기도 화성시,경기도 화성시 진안동,37.2171667,127.03928329999998,"[None None None None None None None None None None None None None None
 None]",4170350.0
233002148,화성시,진안초교,Jinan Elementary School ,55353.0,노변정류장,경기도 화성시,경기도 화성시 진안동,37.2172667,127.03955,55353.0,
233002149,화성시,어천저수지,Eocheon Reservoir,55106.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.25125,126.91481670000002,"[None None None None None None None None None None None None None None
 None]",4117419.0
233002150,화성시,어천저수지,Eocheon Reservoir,55107.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.25135,126.91478329999998,"[None None None None None None None None None None None None None None
 None]",4130323.0
233002151,화성시,화성종합경기타운,Hwaseong Sports Town,55098.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1363167,126.92161670000002,55098.0,
233002152,화성시,화성종합경기타운,Hwaseong Sports Town,55368.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1362833,126.92123329999998,55368.0,
233002153,화성시,슬항3리,Seulhang 3-ri,55096.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.2093333,126.76288329999998,"[None None None None None None None None None None None None None None
 None]",4170951.0
233002155,화성시,안녕성당앞,Annyeong Catholic Church ,55161.0,노변정류장,경기도 화성시,경기도 화성시 안녕동,37.20426670000001,126.9962667,55161.0,
233002156,화성시,장짐삼거리앞,Jangjim Samgeori,55114.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1387167,126.89936670000002,"[None None None None None None None None None None None None None None
 None]",4196040.0
233002157,화성시,장짐삼거리앞,Jangjim Samgeori,55156.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1386667,126.89946670000002,"[None None None None None None None None None None None None None None
 None]",4107891.0
233002158,화성시,송곡리입구,Songgok-ri ,55128.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12655,126.97115,"[None None None None None None None None None None None None None None
 None]",4170495.0
233002159,화성시,남양뉴타운,Namyang New Town,36024.0,노변정류장,경기도 화성시,,37.202,126.82435,"[None None None None None None None None None None None None None None
 None]",4119365.0
233002160,화성시,하피랜드,Hapy Land,55175.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.16895,126.88828329999998,55175.0,
233002161,화성시,하피랜드,Hapy Land,55176.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1692167,126.8885667,"[None None None None None None None None None None None None None None
 None]",4119454.0
233002163,화성시,봉림사입구,Bongnimsa,55254.0,노변정류장,경기도 화성시,,37.2174833,126.841,"[None None None None None None None None None None None None None None
 None]",4115241.0
233002164,화성시,봉림사입구,Bongnimsa,55255.0,노변정류장,경기도 화성시,,37.2175667,126.84078329999998,"[None None None None None None None None None None None None None None
 None]",4115251.0
233002167,화성시,창곡1리입구,Changgok 1-ri  ,55125.0,노변정류장,경기도 화성시,경기도 화성시 비봉면,37.1964667,126.8809167,"[None None None None None None None None None None None None None None
 None]",4170857.0
233002168,화성시,창곡1리입구,Changgok 1-ri  ,55126.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1960667,126.8812833,"[None None None None None None None None None None None None None None
 None]",4170986.0
233002170,화성시,남양보건소,Namyang Public Health Center,55115.0,노변정류장,경기도 화성시,,37.2069167,126.8118833,"[None None None None None None None None None None None None None None
 None]",4130107.0
233002171,화성시,남양보건소,Namyang Public Health Center,55116.0,노변정류장,경기도 화성시,,37.2070333,126.81185,"[None None None None None None None None None None None None None None
 None]",4151702.0
233002172,화성시,동화휴먼시아1단지,Donghwa Humansia Apartment 1-danji,55135.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.2185667,126.9583333,"[None None None None None None None None None None None None None None
 None]",4171009.0
233002174,화성시,매송초등학교,Maesong Elementary School ,55188.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.24885,126.9277,"[None None None None None None None None None None None None None None
 None]",4107958.0
233002175,화성시,기천3리,Gicheon 3-ri ,55275.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1884,126.90841670000002,55275.0,
233002177,화성시,기천3리,Gicheon 3-ri ,55276.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1917333,126.9095667,55276.0,
233002180,화성시,안덕우리,Andeokuri,37880.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1366,126.8632167,"[None None None None None None None None None None None None None None
 None]",4199443.0
233002184,화성시,주곡1리,Jugok-ri,55157.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.1175,126.825,55157.0,
233002185,화성시,모아미래도아파트,Moamiraedo Apartment ,55144.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2087167,127.0518,"[None None None None None None None None None None None None None None
 None]",4198444.0
233002186,화성시,신남4통,Sinnam 4-tong,55278.0,노변정류장,경기도 화성시,,37.1886167,126.8208333,"[None None None None None None None None None None None None None None
 None]",4119775.0
233002188,화성시,신남1통,Sinnam 1-tong,55317.0,노변정류장,경기도 화성시,,37.1804667,126.81808329999998,"[None None None None None None None None None None None None None None
 None]",4119780.0
233002189,화성시,안석2통,Anseok 2-tong,55318.0,노변정류장,경기도 화성시,,37.1780667,126.817,"[None None None None None None None None None None None None None None
 None]",4119781.0
233002191,화성시,마산포종점,Masanpo Bus Terminal ,55189.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.23845,126.66315,55189.0,
233002192,화성시,약방앞,Pharmacy ,55190.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2409167,126.66948329999998,55190.0,
233002193,화성시,약방앞,Pharmacy  ,55191.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2408833,126.6692667,55191.0,
233002194,화성시,고포2리,Gopo 2-ri,55192.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2365167,126.6796333,55192.0,
233002195,화성시,마산2리,Masan 2-ri,55193.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2328667,126.6858833,55193.0,
233002196,화성시,고포3리,Gopo 3-ri,55194.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.235,126.6818667,55194.0,
233002197,화성시,고포3리,Gopo 3-ri,55195.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2349333,126.6818333,55195.0,
233002198,화성시,마산초교,Masan Elementary School ,55196.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2309833,126.6915,"[None None None None None None None None None None None None None None
 None]",4107905.0
233002199,화성시,신흥유원지,Sinheung Park ,55197.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.23075,126.69526670000002,55197.0,
233002200,화성시,마산1리,Masan 1-ri,55198.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.22736670000001,126.7008333,55198.0,
233002201,화성시,마산1리.청촌농원,"Masan 1-ri, Cheongchon Farm ",55199.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2294833,126.6996,55199.0,
233002202,화성시,마산1리.청촌농원,"Masan 1-ri, Cheongchon Farm",55200.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2293833,126.6995833,55200.0,
233002203,화성시,마산1리마을회관,Masan 1-ri Community Center,55201.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2299667,126.69785,55201.0,
233002204,화성시,마산1리마을회관,Masan 1-ri Community Center,55202.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2298,126.6980333,"[None None None None None None None None None None None None None None
 None]",4120164.0
233002205,화성시,중송1리,Jungsong 1-ri,55203.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2239667,126.70625,55203.0,
233002206,화성시,은진화학,Eunjin Chemical ,55204.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2175833,126.7160167,"[None None None None None None None None None None None None None None
 None]",4119846.0
233002207,화성시,은진화학,Eunjin Chemical ,55205.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2174667,126.71605,55205.0,
233002208,화성시,송산중학교,Songsan Middle School,55206.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.21516670000001,126.7299833,55206.0,
233002209,화성시,송산중학교,Songsan Middle School,55207.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2151167,126.7301667,"[None None None None None None None None None None None None None None
 None]",4120166.0
233002210,화성시,동탄면사무소,Dongtan-myeon Office ,55103.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1737833,127.0908,"[None None None None None None None None None None None None None None
 None]",4197608.0
233002211,화성시,동탄면사무소,Dongtan-myeon Office ,36669.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.17345,127.0910167,"[None None None None None None None None None None None None None None
 None]",4197468.0
233002212,화성시,가재1리입구.자연샘,"Gajae 1-ri, Jayeonsaem ",55133.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1452,126.9196667,"[None None None None None None None None None None None None None None
 None]",4170418.0
233002213,화성시,현대기아연구소,Hyundai & Kia Research Institute ,55108.0,노변정류장,경기도 화성시,,37.1616,126.84455,"[None None None None None None None None None None None None None None
 None]",4130300.0
233002214,화성시,온석2통앞,Onseok 2-tong,55110.0,노변정류장,경기도 화성시,,37.1671667,126.8469667,"[None None None None None None None None None None None None None None
 None]",4130252.0
233002216,화성시,안장골입구,Anjanggol ,55117.0,노변정류장,경기도 화성시,,37.1792333,126.84416670000002,"[None None None None None None None None None None None None None None
 None]",4170260.0
233002217,화성시,국민체육센터,Sports Center,55139.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.22125,126.95208329999998,"[None None None None None None None None None None None None None None
 None]",4130293.0
233002218,화성시,국민체육센터,Sports Center,55140.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2214,126.9522167,"[None None None None None None None None None None None None None None
 None]",4130292.0
233002221,화성시,온석2통앞,Onseok 2-tong,55111.0,노변정류장,경기도 화성시,,37.1672667,126.84718329999998,"[None None None None None None None None None None None None None None
 None]",4130251.0
233002223,화성시,온석동입구,Onseok-dong,55112.0,노변정류장,경기도 화성시,,37.1735833,126.8453167,"[None None None None None None None None None None None None None None
 None]",4130238.0
233002224,화성시,온석동입구,Onseok-dong,55113.0,노변정류장,경기도 화성시,,37.1736667,126.8454,"[None None None None None None None None None None None None None None
 None]",4130237.0
233002225,화성시,안장골입구,Anjanggol  ,55118.0,노변정류장,경기도 화성시,,37.17921670000001,126.8442833,"[None None None None None None None None None None None None None None
 None]",4170261.0
233002226,화성시,현대기아연구소,Hyundai & Kia Research Institute ,55109.0,노변정류장,경기도 화성시,,37.1614333,126.84466670000002,"[None None None None None None None None None None None None None None
 None]",4130218.0
233002227,화성시,한마음초사거리,Hanmaeum Elementary School Sageori,55145.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2092,127.0528833,55145.0,
233002228,화성시,한마음초사거리,Hanmaeum Elementary School Sageori,55146.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2091333,127.0531,55146.0,
